Country/Territory,Code,VoiceAccount,PolStability,GovEffect,RegQual,RuleLaw,ContCorr,Region
Lebanon,LBN,-0.558172106742859,-1.64560794830322,-1.16972374916077,-0.631152331829071,-0.904381453990936,-1.1451268196106,MENA
Liberia,LBR,-0.0758209377527237,-0.369654357433319,-1.40989303588867,-1.00202691555023,-1.0257728099823,-0.873327612876892,SSA
Libya,LBY,-1.38252735137939,-2.47724986076355,-2.009432554245,-2.32158064842224,-1.96958553791046,-1.62008166313171,MENA
Liechtenstein,LIE,1.26384675502777,1.69811153411865,1.82406771183014,1.62449502944946,1.76323807239532,1.99770760536194,WE/EU
Sri Lanka,LKA,-0.0518834330141544,-0.0465374514460564,-0.0702100992202759,-0.179070502519608,-0.0452498681843281,-0.312429964542389,AP
Lesotho,LSO,0.00232446636073291,-0.334338009357452,-0.912311553955078,-0.565879583358765,-0.456643432378769,-0.0859291926026344,SSA
Lithuania,LTU,1.00734102725983,0.866941750049591,1.05881035327911,1.08813309669495,0.993899405002594,0.808224499225616,WE/EU
Luxembourg,LUX,1.50264286994934,1.23305058479309,1.84221649169922,1.84221351146698,1.79446256160736,2.05772376060486,WE/EU
Latvia,LVA,0.872049391269684,0.460029661655426,0.882272064685822,1.18787288665771,0.956737220287323,0.722600698471069,WE/EU
Morocco,MAR,-0.608633160591126,-0.326687961816788,-0.0301265511661768,-0.117272183299065,-0.0884052813053131,-0.351529240608215,MENA
Moldova,MDA,-0.0474038682878017,-0.417325556278229,-0.455641329288483,0.0425393246114254,-0.410875022411346,-0.57425582408905,ECA
Madagascar,MDG,-0.275043070316315,-0.455483555793762,-1.00194799900055,-0.743363916873932,-0.882860600948334,-0.971603810787201,SSA
Maldives,MDV,-0.330381125211716,0.412038564682007,-0.114021137356758,-0.491706192493439,-0.333047240972519,-0.339296251535416,AP
Mexico,MEX,-0.0355823300778866,-0.850029349327087,-0.155060857534409,0.0767781212925911,-0.670107960700989,-0.847624719142914,AME
Mali,MLI,-0.730584383010864,-2.14744424819946,-1.15447986125946,-0.608012914657593,-0.923438847064972,-0.778714537620544,SSA
Malta,MLT,1.12149953842163,0.951036810874939,1.03946459293365,1.21925091743469,0.916260242462158,0.371234625577927,WE/EU
Myanmar,MMR,-0.944311916828156,-1.51314222812653,-0.996518075466156,-0.632295906543732,-1.17882025241852,-0.6537104845047,AP
Mongolia,MNG,0.37919470667839,0.793757975101471,-0.343761444091797,-0.0923366770148277,-0.263760983943939,-0.463969022035599,ECA
Montenegro,MNE,0.0421530194580555,-0.00262785726226866,-0.015012382529676,0.397037774324417,0.0590737946331501,-0.00309228198602796,ECA
Mozambique,MOZ,-0.60134881734848,-1.16107952594757,-0.724425792694092,-0.690480887889862,-1.02215445041657,-0.720573842525482,SSA
Mauritania,MRT,-0.840464770793915,-0.751339972019196,-0.772208273410797,-0.807327270507813,-0.58692729473114,-0.805144011974335,SSA
Mauritius,MUS,0.744466602802277,0.889368236064911,0.86607551574707,1.12599956989288,0.922538280487061,0.47386571764946,SSA
Malawi,MWI,-0.0347480401396751,-0.237184554338455,-0.794429540634155,-0.721720576286316,-0.267136693000793,-0.395084023475647,SSA
Malaysia,MYS,-0.148040995001793,0.12167564034462,1.04138851165771,0.772080779075623,0.658678650856018,0.249495893716812,AP
Namibia,NAM,0.563312888145447,0.646452784538269,0.0499710515141487,-0.108967393636704,0.298035860061646,0.320008218288422,SSA
Niger,NER,-0.516928017139435,-1.74284565448761,-0.617084980010986,-0.742997229099274,-0.547357022762299,-0.658867120742798,SSA
Nigeria,NGA,-0.585182130336762,-1.85934937000275,-1.0294748544693,-0.962666273117065,-0.812488257884979,-1.09688007831573,SSA
Nicaragua,NIC,-1.09720945358276,-0.649612426757813,-0.714019775390625,-0.659635186195374,-1.21799528598785,-1.24945819377899,AME
Netherlands,NLD,1.52604496479034,0.850354731082916,1.85335552692413,1.753378033638,1.75982475280762,2.03341555595398,WE/EU
Norway,NOR,1.72509264945984,1.24828660488129,1.93673431873322,1.69805705547333,1.98386454582214,2.09998488426208,WE/EU
Nepal,NPL,-0.0885782316327095,-0.197384133934975,-0.944426119327545,-0.696219801902771,-0.490970343351364,-0.577750742435455,AP
New Zealand,NZL,1.59688305854797,1.48600041866303,1.58940625190735,1.87704372406006,1.88336670398712,2.15045809745789,AP
Oman,OMN,-1.14592719078064,0.373773723840713,0.141849502921104,0.459077775478363,0.620430886745453,0.231182560324669,MENA
Pakistan,PAK,-0.88015615940094,-1.85335576534271,-0.545995891094208,-0.716666698455811,-0.691759705543518,-0.84031468629837,AP
Panama,PAN,0.570445597171783,0.229732424020767,0.0715803280472755,0.31911888718605,-0.207773491740227,-0.51419323682785,AME
Peru,PER,0.219030901789665,-0.286898791790009,-0.237463310360908,0.526472866535187,-0.342974901199341,-0.48950269818306,AME
Philippines,PHL,-0.103620946407318,-0.793794870376587,0.06087451800704,0.0299304332584143,-0.551821351051331,-0.481663256883621,AP
Papua New Guinea,PNG,0.0286327376961708,-0.739316761493683,-0.846731305122376,-0.681509137153626,-0.719771444797516,-0.573950171470642,AP
Poland,POL,0.617115557193756,0.574383854866028,0.376499235630035,0.885996639728546,0.539886176586151,0.650794446468353,WE/EU
Puerto Rico,PRI,0.500938475131989,0.431649655103684,-0.259539216756821,0.793276965618134,0.632548213005066,0.0164234172552824,AME
"Korea, Dem. Rep.",PRK,-2.15860462188721,-0.398041486740112,-1.46374130249023,-2.33989286422729,-1.6029999256134,-1.68000495433807,AP
Portugal,PRT,1.26027750968933,1.0263386964798,1.02343571186066,0.833124458789825,1.18343198299408,0.751096665859222,WE/EU
Paraguay,PRY,0.0662908181548119,0.0151680707931519,-0.465850591659546,-0.202351078391075,-0.415099889039993,-0.87065851688385,AME
Qatar,QAT,-1.28763473033905,0.670704424381256,0.908276736736298,0.851226449012756,1.0009286403656,0.783914566040039,MENA
Romania,ROM,0.584396362304688,0.589217483997345,-0.220548942685127,0.382609695196152,0.368868052959442,-0.0285287853330374,WE/EU
Russian Federation,RUS,-1.07674777507782,-0.731464743614197,0.0334168672561645,-0.437757104635239,-0.76028311252594,-0.910580635070801,ECA
Rwanda,RWA,-1.10448348522186,0.0325207263231277,0.342128187417984,0.156401336193085,0.107366301119328,0.554596304893494,SSA
Saudi Arabia,SAU,-1.61071276664734,-0.661095917224884,0.146086871623993,0.264395385980606,0.240632578730583,0.268976747989655,MENA
Sudan,SDN,-1.43299305438995,-1.76315557956696,-1.48648011684418,-1.60601758956909,-1.06748330593109,-1.38645577430725,SSA
Senegal,SEN,0.244614660739899,-0.0207328572869301,0.0108910966664553,-0.207833394408226,-0.275570213794708,0.0303711257874966,SSA
Singapore,SGP,-0.202115461230278,1.46507430076599,2.3352997303009,2.20560669898987,1.88038194179535,2.15198636054993,AP
Sierra Leone,SLE,-0.090912751853466,-0.243662089109421,-1.0164852142334,-0.857653498649597,-0.756442606449127,-0.36036005616188,SSA
